,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
59,BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,1,1667.0,490.27295999999996,0.05,,0.000505779,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,27.19,9.99,V (Johnson),9.485,4475.0,0.57,0.52,2015-01-08,La Silla Observatory
60,BD-13 2130,b,BD-13 2130 b,Radial Velocity,0,1,714.29999,356.95312,0.21,,0.009333054,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639000000002,948.75,948.75,9.45,V (Johnson),9.7,4545.0,2.12,19.17,2018-09-06,La Silla Observatory
61,BD-17 63,b,BD-17 63 b,Radial Velocity,0,1,655.6,288.14288000000005,0.54,,0.00486693,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345000000002,34.49,34.49,9.566,V (Johnson),9.201,4714.0,0.74,0.69,2014-05-14,La Silla Observatory
67,CoRoT-10,b,CoRoT-10 b,Transit,0,1,13.2406,22.685876,0.53,88.55,0.0026243250000000003,Mass,0.97,3.7,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.0,341.65,15.22,V (Johnson),14.665,5075.0,0.89,0.79,2014-05-14,CoRoT
68,CoRoT-11,b,CoRoT-11 b,Transit,0,1,2.99433,9.3753952,0.0,83.17,0.002223519,Mass,1.43,0.99,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.0,666.35,12.939,V (Johnson),12.841,6440.0,1.27,1.37,2014-05-14,CoRoT
69,CoRoT-12,b,CoRoT-12 b,Transit,0,1,2.828042,8.635685120000002,0.07,85.48,0.0008750931000000001,Mass,1.44,0.411,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.0,1161.12,15.515,V (Johnson),15.345,5675.0,1.08,1.12,2014-05-14,CoRoT
70,CoRoT-13,b,CoRoT-13 b,Transit,0,1,4.03519,10.966632,0.0,88.02,0.0012482244000000002,Mass,0.885,2.34,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086444999999999,1060.0,1184.91,15.039000000000001,V (Johnson),14.915,5945.0,1.09,1.01,2014-05-14,CoRoT
71,CoRoT-14,b,CoRoT-14 b,Transit,0,1,1.51214,5.805864000000001,0.0,79.6,0.00725268,Mass,1.09,7.3,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.0,1826.96,16.033,V (Johnson),15.812000000000001,6035.0,1.13,1.21,2014-05-14,CoRoT
72,CoRoT-16,b,CoRoT-16 b,Transit,0,1,5.35227,13.2889776,0.33,85.01,0.0005105505000000001,Mass,1.17,0.44,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.0025949999999995,840.0,745.96,15.63,V (Johnson),15.651,5650.0,1.1,1.19,2014-05-14,CoRoT
73,CoRoT-17,b,CoRoT-17 b,Transit,0,1,3.7681,9.912975200000002,0.0,88.34,0.0023189490000000003,Mass,1.02,2.82,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.0,1214.51,15.46,V (Johnson),15.437000000000001,5740.0,1.04,1.59,2014-05-14,CoRoT
