logg,Teff,Z,L/HP,aLSM,bLSM,aPCM,bPCM,chi2,Type,Mod
4.5,1600,0.0,2.0,1.2011,-0.3359,1.1558,-0.2477,0.0717,r,PD
5.0,1600,0.0,2.0,1.203,-0.3414,1.1683,-0.2742,0.079,r,PD
5.5,1600,0.0,2.0,1.2509,-0.3897,1.2423,-0.3637,0.1062,r,PD
2.5,1700,0.0,2.0,1.036,-0.177,0.9567,0.0468,0.0349,r,PD
3.0,1700,0.0,2.0,1.0663,-0.2038,0.9839,-0.0065,0.0458,r,PD
3.5,1700,0.0,2.0,1.0824,-0.2221,1.0065,-0.0561,0.057,r,PD
4.0,1700,0.0,2.0,1.0787,-0.2192,1.0125,-0.0847,0.0603,r,PD
4.5,1700,0.0,2.0,1.0295,-0.1666,0.9753,-0.0629,0.0666,r,PD
5.0,1700,0.0,2.0,1.0447,-0.1773,0.9958,-0.0891,0.0721,r,PD
5.5,1700,0.0,2.0,1.1249,-0.2561,1.0885,-0.1917,0.0741,r,PD
2.5,1800,0.0,2.0,1.0546,-0.1921,0.9671,0.0421,0.0376,r,PD
3.0,1800,0.0,2.0,1.0009,-0.1336,0.9318,0.0482,0.0194,r,PD
3.5,1800,0.0,2.0,0.999,-0.1466,0.9293,0.0143,0.024,r,PD
4.0,1800,0.0,2.0,0.9997,-0.1496,0.9423,-0.024,0.0205,r,PD
4.5,1800,0.0,2.0,1.0181,-0.1655,0.9716,-0.0699,0.0341,r,PD
5.0,1800,0.0,2.0,0.9931,-0.1377,0.951,-0.0565,0.0439,r,PD
5.5,1800,0.0,2.0,0.988,-0.1282,0.953,-0.0634,0.0483,r,PD
2.5,1900,0.0,2.0,0.9661,-0.1069,0.8894,0.1153,0.114,r,PD
3.0,1900,0.0,2.0,0.9975,-0.1289,0.9186,0.0633,0.0618,r,PD
3.5,1900,0.0,2.0,1.0153,-0.169,0.9455,-0.0068,0.0221,r,PD
4.0,1900,0.0,2.0,1.0309,-0.193,0.9776,-0.0717,0.025,r,PD
4.5,1900,0.0,2.0,0.9598,-0.1216,0.9226,-0.0365,0.0251,r,PD
5.0,1900,0.0,2.0,0.9496,-0.1027,0.9153,-0.0303,0.0106,r,PD
5.5,1900,0.0,2.0,0.9134,-0.0623,0.8848,-0.0046,0.0216,r,PD
2.5,2000,0.0,2.0,0.9285,-0.0652,0.8425,0.1717,0.1362,r,PD
3.0,2000,0.0,2.0,0.9675,-0.1052,0.8871,0.0912,0.0999,r,PD
3.5,2000,0.0,2.0,0.9696,-0.1086,0.8977,0.0536,0.054,r,PD
4.0,2000,0.0,2.0,0.9797,-0.1222,0.9187,0.0068,0.0525,r,PD
4.5,2000,0.0,2.0,1.0019,-0.1502,0.9501,-0.0469,0.0354,r,PD
5.0,2000,0.0,2.0,0.9531,-0.1096,0.9166,-0.034,0.0144,r,PD
5.5,2000,0.0,2.0,0.8858,-0.0436,0.8594,0.0125,0.0094,r,PD
2.5,2100,0.0,2.0,0.8605,-0.0008,0.7717,0.2452,0.193,r,PD
3.0,2100,0.0,2.0,0.9339,-0.071,0.8438,0.1407,0.112,r,PD
3.5,2100,0.0,2.0,1.0056,-0.1434,0.9275,0.0262,0.075,r,PD
4.0,2100,0.0,2.0,0.9778,-0.1143,0.9123,0.0203,0.0534,r,PD
4.5,2100,0.0,2.0,0.9685,-0.1152,0.9116,-0.0028,0.0446,r,PD
5.0,2100,0.0,2.0,0.9385,-0.0905,0.8935,-0.0038,0.0346,r,PD
5.5,2100,0.0,2.0,0.885,-0.0383,0.8537,0.024,0.0168,r,PD
2.5,2200,0.0,2.0,0.8599,-0.0339,0.7149,0.3146,0.1413,r,PD
3.0,2200,0.0,2.0,0.8118,0.0562,0.7212,0.273,0.1062,r,PD
3.5,2200,0.0,2.0,0.9326,-0.0663,0.8487,0.1125,0.1034,r,PD
4.0,2200,0.0,2.0,0.9652,-0.0923,0.8942,0.049,0.0756,r,PD
4.5,2200,0.0,2.0,0.9343,-0.0652,0.8713,0.0559,0.0656,r,PD
5.0,2200,0.0,2.0,0.9309,-0.0788,0.8823,0.0128,0.0463,r,PD
5.5,2200,0.0,2.0,0.8911,-0.0458,0.8554,0.0225,0.0325,r,PD
2.5,2300,0.0,2.0,0.8343,0.0193,0.7021,0.3435,0.1714,r,PD
3.0,2300,0.0,2.0,0.8448,0.0033,0.7117,0.2945,0.1585,r,PD
3.5,2300,0.0,2.0,0.8311,0.0481,0.7358,0.2478,0.122,r,PD
4.0,2300,0.0,2.0,0.8998,-0.0167,0.828,0.1256,0.1017,r,PD
4.5,2300,0.0,2.0,0.8732,0.0137,0.8142,0.1282,0.0673,r,PD
5.0,2300,0.0,2.0,0.847,0.0221,0.801,0.1093,0.0516,r,PD
5.5,2300,0.0,2.0,0.8149,0.0388,0.7803,0.1054,0.0267,r,PD
2.5,2400,0.0,2.0,0.7287,0.1878,0.6517,0.4198,0.1336,r,PD
3.0,2400,0.0,2.0,0.7309,0.1551,0.6253,0.4048,0.1545,r,PD
3.5,2400,0.0,2.0,0.7423,0.1552,0.6567,0.3435,0.1234,r,PD
