,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
4008,WASP-173 A,b,WASP-173 A b,Transit,0,1,1.38665318,5.3327936000000005,0.0,85.2,0.003521367,Mass,1.2,2.84,0,0,0,1,23h36m40.38s,354.168243,-34d36m40.6s,-34.611278999999996,234.54,234.54,11.102,V (Johnson),11.397,5800.0,1.05,1.11,2018-10-26,SuperWASP-South
4012,WASP-177,b,WASP-177 b,Transit,0,1,3.071722,8.50881624,,84.14,0.0004847844,Mass,1.58,0.172,0,0,0,0,22h19m11.19s,334.796625,-01d50m04.7s,-1.834639,178.0,177.67,12.58,V (Johnson),12.072000000000001,5017.0,0.88,0.89,2019-04-18,SuperWASP
4014,WASP-18,b,WASP-18 b,Transit,0,2,0.94124,4.3006400000000005,,85.68,0.009952910022,Mass,,,1,0,0,1,01h37m25.03s,24.354311,-45d40m40.4s,-45.677887,123.92,123.92,9.302999999999999,V (Johnson),9.166,6400.0,1.22,1.23,2019-12-05,SuperWASP
4022,WASP-19,b,WASP-19 b,Transit,0,1,0.78883899,3.5136228800000002,0.002,78.78,0.0010201467,Mass,1.392,0.492,0,0,0,0,09h53m40.08s,148.417002,-45d39m33.1s,-45.659191,270.41,270.41,12.59,V (Johnson),12.109000000000002,5568.0,0.9,1.0,2016-08-18,SuperWASP
4025,WASP-2,b,WASP-2 b,Transit,0,1,2.152175,6.76060608,,84.49,0.0008884533000000001,Mass,1.081,0.914,0,0,0,1,20h30m54.13s,307.725542,+06d25m46.3s,6.429536,153.89,153.89,11.88,V (Johnson),11.564,5180.0,0.9,0.87,2019-09-26,SuperWASP
4033,WASP-28,b,WASP-28 b,Transit,0,1,3.40883,9.60978008,0.0,88.61,0.0008655501000000001,Mass,1.213,0.676,0,0,1,0,23h34m27.88s,353.616152,-01d34m48.2s,-1.580064,410.0,351.95,12.03,V (Johnson),12.029000000000002,6150.0,1.02,1.09,2015-03-05,SuperWASP
4038,WASP-33,b,WASP-33 b,Transit,0,1,1.21987,5.1392648,,86.63,0.0019973499,Mass,1.5930000000000002,0.689,0,0,0,1,02h26m51.06s,36.712746,+37d33m01.7s,37.550484000000004,122.36,122.36,8.142000000000001,V (Johnson),8.07,7430.0,1.5,1.44,2019-07-11,SuperWASP
4042,WASP-37,b,WASP-37 b,Transit,0,1,3.577469,9.5904272,0.0,88.82,0.0017177400000000002,Mass,1.16,1.53,0,0,0,0,14h47m46.56s,221.94398700000002,+01d03m53.9s,1.064966,343.0,397.09,12.704,V (Johnson),12.542,5800.0,0.93,1.0,2014-05-14,SuperWASP
4045,WASP-4,b,WASP-4 b,Transit,0,1,1.33823147,4.8597232,0.0,89.06,0.0011317998,Mass,1.321,,0,0,0,2,23h34m15.08s,353.562841,-42d03m41.1s,-42.061428,269.21,269.21,12.5,V (Johnson),12.315999999999999,5400.0,0.86,0.89,2019-08-15,SuperWASP
4049,WASP-43,b,WASP-43 b,Transit,0,1,0.813475,3.0534544,0.0,82.6,0.0016986540000000002,Mass,0.93,2.939,1,0,0,0,10h19m38.01s,154.90837199999999,-09d48m22.6s,-9.806275999999999,80.0,86.96,12.4,V (Johnson),11.907,4400.0,0.58,0.6,2014-05-14,SuperWASP
